,heading,key,value
7654,Engine and Transmission,Max Power,55.2bhp@5500rpm
7655,Engine and Transmission,Max Torque,74.5Nm@4000rpm
7656,Engine and Transmission,No of Cylinder,3
7657,Engine and Transmission,Values per Cylinder,3
7658,Engine and Transmission,Value Configuration,SOHC
7659,Engine and Transmission,Fuel Suppy System,MPFI
7660,Engine and Transmission,Turbo Charger,No
7661,Engine and Transmission,Super Charger,No
7662,Dimensions & Capacity,Length,3495mm
7663,Dimensions & Capacity,Width,1550mm
7664,Dimensions & Capacity,Height,1500mm
7665,Dimensions & Capacity,Wheel Base,2380mm
7666,Dimensions & Capacity,Front Tread,1386mm
7667,Dimensions & Capacity,Rear Tread,1368mm
7668,Dimensions & Capacity,Kerb Weight,880
7669,Miscellaneous,Gear Box,5 Speed
7670,Miscellaneous,Drive Type,FWD
7671,Miscellaneous,Seating Capacity,5
7672,Miscellaneous,Steering Type,Power
7673,Miscellaneous,Turning Radius,4.6 metres
7674,Miscellaneous,Front Brake Type,Disc
7675,Miscellaneous,Rear Brake Type,Drum
7676,Miscellaneous,Top Speed,135 Kmph
7677,Miscellaneous,Acceleration,19 Seconds
7678,Miscellaneous,Tyre Type,Tubeless
7679,Miscellaneous,No Door Numbers,5
7680,Miscellaneous,Cargo Volumn,215-litres
7681,Engine and Transmission,Color,Grey
7682,Engine and Transmission,Engine Type,K10C
7683,Engine and Transmission,Displacement,998
7684,Engine and Transmission,Max Power,65.71bhp@5500rpm
7685,Engine and Transmission,Max Torque,89Nm@3500rpm
7686,Engine and Transmission,No of Cylinder,3
7687,Engine and Transmission,Values per Cylinder,4
7688,Dimensions & Capacity,Length,3565mm
7689,Dimensions & Capacity,Width,1520
7690,Dimensions & Capacity,Height,1567
7691,Dimensions & Capacity,Wheel Base,2380
7692,Dimensions & Capacity,Front Tread,1316
7693,Dimensions & Capacity,Rear Tread,1318
7694,Dimensions & Capacity,Kerb Weight,736-775
7695,Dimensions & Capacity,Gross Weight,1170
7696,Miscellaneous,Gear Box,5 Speed
7697,Miscellaneous,Drive Type,FWD
7698,Miscellaneous,Seating Capacity,5
7699,Miscellaneous,Steering Type,Power
7700,Miscellaneous,Turning Radius,4.5
7701,Miscellaneous,Front Brake Type,Ventilated Disc
7702,Miscellaneous,Rear Brake Type,Drum
7703,Miscellaneous,Tyre Type,"Tubeless, Radial"
7704,Miscellaneous,No Door Numbers,5
7705,Engine and Transmission,Color,Red
7706,Engine and Transmission,Engine Type,DDiS Diesel Engine
7707,Engine and Transmission,Displacement,1248
7708,Engine and Transmission,Max Power,74bhp@4000rpm
7709,Engine and Transmission,Max Torque,190Nm@2000rpm
7710,Engine and Transmission,No of Cylinder,4
7711,Engine and Transmission,Values per Cylinder,4
7712,Engine and Transmission,Value Configuration,DOHC
7713,Engine and Transmission,Fuel Suppy System,CRDi
7714,Engine and Transmission,Turbo Charger,Yes
7715,Engine and Transmission,Super Charger,No
7716,Dimensions & Capacity,Length,3995mm
7717,Dimensions & Capacity,Width,1745mm
7718,Dimensions & Capacity,Height,1510mm
7719,Dimensions & Capacity,Wheel Base,2520mm
7720,Dimensions & Capacity,Front Tread,1515mm
7721,Dimensions & Capacity,Rear Tread,1525mm
7722,Dimensions & Capacity,Kerb Weight,960kg
7723,Dimensions & Capacity,Gross Weight,1430kg
7724,Miscellaneous,Gear Box,5 Speed
7725,Miscellaneous,Drive Type,FWD
7726,Miscellaneous,Seating Capacity,5
7727,Miscellaneous,Steering Type,Power
7728,Miscellaneous,Turning Radius,4.9 metres
7729,Miscellaneous,Front Brake Type,Disc
7730,Miscellaneous,Rear Brake Type,Drum
7731,Miscellaneous,Top Speed,170 Kmph
7732,Miscellaneous,Acceleration,12.93 seconds
7733,Miscellaneous,Tyre Type,"Tubeless,Radial"
7734,Miscellaneous,No Door Numbers,5
7735,Miscellaneous,Cargo Volumn,339-litres
7736,Engine and Transmission,Color,Others
7737,Engine and Transmission,Engine Type,In-Line Engine
7738,Engine and Transmission,Displacement,1197
7739,Engine and Transmission,Max Power,80 PS at 5200 rpm
7740,Engine and Transmission,Max Torque,"11.4 kgm at 4,000 rpm"
7741,Engine and Transmission,No of Cylinder,4
7742,Engine and Transmission,Values per Cylinder,4
7743,Engine and Transmission,Value Configuration,DOHC
7744,Engine and Transmission,Fuel Suppy System,MPFI
7745,Engine and Transmission,Turbo Charger,No
7746,Engine and Transmission,Super Charger,No
7747,Dimensions & Capacity,Length,3940 mm
7748,Dimensions & Capacity,Width,1710 mm
7749,Dimensions & Capacity,Height,1505 mm
7750,Dimensions & Capacity,Wheel Base,"2,525 mm"
7751,Dimensions & Capacity,Front Tread,"1,505 mm"
7752,Dimensions & Capacity,Rear Tread,"1,503 mm"
7753,Dimensions & Capacity,Kerb Weight,1020
7754,Miscellaneous,Gear Box,5 Speed
7755,Miscellaneous,Seating Capacity,5
7756,Miscellaneous,Steering Type,Power
7757,Miscellaneous,Turning Radius,5.2 mtrs.
7758,Miscellaneous,Front Brake Type,Disk
7759,Miscellaneous,Rear Brake Type,Drum
7760,Miscellaneous,Tyre Type,"Tubeless,Radial"
7761,Miscellaneous,Alloy Wheel Size,14
7762,Miscellaneous,No Door Numbers,5
7763,Engine and Transmission,Color,Grey
7764,Engine and Transmission,Engine Type,1.5 L CRDi VGT
7765,Engine and Transmission,Displacement,1493
7766,Engine and Transmission,Max Power,113.43bhp@4000rpm
7767,Engine and Transmission,Max Torque,250nm@1500-2750rpm
7768,Engine and Transmission,No of Cylinder,4
7769,Engine and Transmission,Values per Cylinder,4
7770,Engine and Transmission,Fuel Suppy System,CRDi
7771,Engine and Transmission,Turbo Charger,Yes
7772,Dimensions & Capacity,Length,4315mm
7773,Dimensions & Capacity,Width,1800mm
7774,Dimensions & Capacity,Height,1645mm
7775,Dimensions & Capacity,Wheel Base,2610mm
7776,Dimensions & Capacity,Kerb Weight,1535
7777,Miscellaneous,Gear Box,6-Speed
7778,Miscellaneous,Drive Type,FWD
7779,Miscellaneous,Seating Capacity,5
7780,Miscellaneous,Steering Type,Electric
7781,Miscellaneous,Front Brake Type,Disc
7782,Miscellaneous,Rear Brake Type,Disc
7783,Miscellaneous,Tyre Type,"Tubeless, Radial"
7784,Miscellaneous,Alloy Wheel Size,17
7785,Miscellaneous,No Door Numbers,5
7786,Miscellaneous,Cargo Volumn,433
7787,Engine and Transmission,Color,White
7788,Engine and Transmission,Engine Type,2ZR-FE Petrol Engine
7789,Engine and Transmission,Displacement,1798
7790,Engine and Transmission,Max Power,138.03bhp@6400rpm
7791,Engine and Transmission,Max Torque,173Nm@4000rpm
7792,Engine and Transmission,No of Cylinder,4
7793,Engine and Transmission,Values per Cylinder,4
7794,Engine and Transmission,Value Configuration,DOHC
7795,Engine and Transmission,Fuel Suppy System,EFI
7796,Engine and Transmission,Turbo Charger,No
7797,Engine and Transmission,Super Charger,No
7798,Dimensions & Capacity,Length,4620mm
7799,Dimensions & Capacity,Width,1776mm
7800,Dimensions & Capacity,Height,1475mm
7801,Dimensions & Capacity,Wheel Base,2700mm
7802,Dimensions & Capacity,Front Tread,1529mm
7803,Dimensions & Capacity,Rear Tread,1534mm
7804,Dimensions & Capacity,Kerb Weight,1190kg
7805,Dimensions & Capacity,Gross Weight,1645kg
7806,Miscellaneous,Gear Box,6 Speed
7807,Miscellaneous,Drive Type,FWD
7808,Miscellaneous,Seating Capacity,5
7809,Miscellaneous,Steering Type,Power
7810,Miscellaneous,Turning Radius,5.4 metres
7811,Miscellaneous,Front Brake Type,Ventilated Disc
7812,Miscellaneous,Rear Brake Type,Solid Disc
7813,Miscellaneous,Top Speed,200 Kmph
7814,Miscellaneous,Acceleration,10.1 Seconds
7815,Miscellaneous,Tyre Type,"Tubeless,Radial"
7816,Miscellaneous,Alloy Wheel Size,15
7817,Miscellaneous,No Door Numbers,4
7818,Miscellaneous,Cargo Volumn,470-litres
7819,Engine and Transmission,Color,White
7820,Engine and Transmission,Engine Type,1.5 L CRDi WGT
7821,Engine and Transmission,Displacement,1493
7822,Engine and Transmission,Max Power,98.63bhp@4000rpm
7823,Engine and Transmission,Max Torque,240Nm@1500-2750rpm
7824,Engine and Transmission,No of Cylinder,4
7825,Engine and Transmission,Values per Cylinder,4
7826,Engine and Transmission,Fuel Suppy System,CRDi
7827,Engine and Transmission,Turbo Charger,Yes
7828,Dimensions & Capacity,Length,3995mm
7829,Dimensions & Capacity,Width,1790
7830,Dimensions & Capacity,Height,1642
7831,Dimensions & Capacity,Wheel Base,2500
7832,Dimensions & Capacity,Kerb Weight,1351
7833,Miscellaneous,Gear Box,6-Speed
7834,Miscellaneous,Drive Type,FWD
7835,Miscellaneous,Seating Capacity,5
7836,Miscellaneous,Steering Type,Electric
7837,Miscellaneous,Front Brake Type,Disc
7838,Miscellaneous,Rear Brake Type,Drum
7839,Miscellaneous,Tyre Type,"Tubeless, Radial"
7840,Miscellaneous,Alloy Wheel Size,16
7841,Miscellaneous,No Door Numbers,5
7842,Miscellaneous,Cargo Volumn,392
7843,Engine and Transmission,Color,White
7844,Engine and Transmission,Engine Type,Petrol Engine
7845,Engine and Transmission,Displacement,814
7846,Engine and Transmission,Max Power,55.2bhp@5500rpm
7847,Engine and Transmission,Max Torque,74.5Nm@4000rpm
7848,Engine and Transmission,No of Cylinder,3
7849,Engine and Transmission,Values per Cylinder,3
7850,Engine and Transmission,Value Configuration,SOHC
7851,Engine and Transmission,Fuel Suppy System,MPFI
7852,Engine and Transmission,Turbo Charger,No
7853,Engine and Transmission,Super Charger,No
7854,Dimensions & Capacity,Length,3495mm
7855,Dimensions & Capacity,Width,1550mm
7856,Dimensions & Capacity,Height,1500mm
7857,Dimensions & Capacity,Wheel Base,2380mm
7858,Dimensions & Capacity,Front Tread,1386mm
7859,Dimensions & Capacity,Rear Tread,1368mm
7860,Dimensions & Capacity,Kerb Weight,880
7861,Miscellaneous,Gear Box,5 Speed
7862,Miscellaneous,Drive Type,FWD
7863,Miscellaneous,Seating Capacity,5
7864,Miscellaneous,Steering Type,Power
7865,Miscellaneous,Turning Radius,4.6 metres
7866,Miscellaneous,Front Brake Type,Disc
7867,Miscellaneous,Rear Brake Type,Drum
7868,Miscellaneous,Top Speed,135 Kmph
7869,Miscellaneous,Acceleration,19 Seconds
7870,Miscellaneous,Tyre Type,Tubeless
7871,Miscellaneous,No Door Numbers,5
7872,Miscellaneous,Cargo Volumn,215-litres
7873,Engine and Transmission,Color,G Brown
7874,Engine and Transmission,Engine Type,i-DTEC Diesel Engine
7875,Engine and Transmission,Displacement,1498
7876,Engine and Transmission,Max Power,98.6bhp@3600rpm
7877,Engine and Transmission,Max Torque,200Nm@1750rpm
7878,Engine and Transmission,No of Cylinder,4
7879,Engine and Transmission,Values per Cylinder,4
7880,Engine and Transmission,Value Configuration,DOHC
7881,Engine and Transmission,Fuel Suppy System,CRDi
7882,Engine and Transmission,Turbo Charger,Yes
7883,Engine and Transmission,Super Charger,No
7884,Dimensions & Capacity,Length,3990mm
7885,Dimensions & Capacity,Width,1680mm
7886,Dimensions & Capacity,Height,1505mm
7887,Dimensions & Capacity,Wheel Base,2405mm
7888,Dimensions & Capacity,Kerb Weight,1065kg
7889,Miscellaneous,Gear Box,5 Speed
7890,Miscellaneous,Drive Type,FWD
7891,Miscellaneous,Seating Capacity,5
7892,Miscellaneous,Steering Type,Power
7893,Miscellaneous,Turning Radius,4.7 metres
7894,Miscellaneous,Front Brake Type,Disc
7895,Miscellaneous,Rear Brake Type,Drum
7896,Miscellaneous,Top Speed,140 Kmph
7897,Miscellaneous,Acceleration,17 Seconds
7898,Miscellaneous,Tyre Type,"Tubeless,Radial"
7899,Miscellaneous,No Door Numbers,4
7900,Miscellaneous,Cargo Volumn,400-litres
7901,Engine and Transmission,Color,Grey
7902,Engine and Transmission,Engine Type,DOHC i-VTEC
7903,Engine and Transmission,Displacement,2354
7904,Engine and Transmission,Max Power,177.6bhp@6500rpm
7905,Engine and Transmission,Max Torque,222Nm@4300rpm
7906,Engine and Transmission,No of Cylinder,4
7907,Engine and Transmission,Values per Cylinder,4
7908,Engine and Transmission,Value Configuration,DOHC
7909,Engine and Transmission,Fuel Suppy System,PGM-FI (Programmed Fuel Injection)
7910,Engine and Transmission,Turbo Charger,No
7911,Engine and Transmission,Super Charger,No
7912,Dimensions & Capacity,Length,4950mm
7913,Dimensions & Capacity,Width,1845mm
7914,Dimensions & Capacity,Height,1475mm
7915,Dimensions & Capacity,Wheel Base,2800mm
7916,Dimensions & Capacity,Front Tread,1585mm
7917,Dimensions & Capacity,Rear Tread,1585mm
7918,Dimensions & Capacity,Kerb Weight,1525kg
7919,Miscellaneous,Gear Box,5 Speed
7920,Miscellaneous,Drive Type,FWD
7921,Miscellaneous,Seating Capacity,5
7922,Miscellaneous,Steering Type,Power
7923,Miscellaneous,Turning Radius,5.6metres
7924,Miscellaneous,Front Brake Type,Multilateral Disc
7925,Miscellaneous,Rear Brake Type,Solid Disc
7926,Miscellaneous,Tyre Type,"Tubeless,Radial"
7927,Miscellaneous,Alloy Wheel Size,16
7928,Miscellaneous,No Door Numbers,4
7929,Engine and Transmission,Color,Others
7930,Engine and Transmission,Engine Type,K10C
7931,Engine and Transmission,Displacement,998
7932,Engine and Transmission,Max Power,65.71bhp@5500rpm
7933,Engine and Transmission,Max Torque,89Nm@3500rpm
7934,Engine and Transmission,No of Cylinder,3
7935,Engine and Transmission,Values per Cylinder,4
7936,Dimensions & Capacity,Length,3530mm
7937,Dimensions & Capacity,Width,1490
7938,Dimensions & Capacity,Height,1520
7939,Dimensions & Capacity,Wheel Base,2380
7940,Dimensions & Capacity,Kerb Weight,755
7941,Miscellaneous,Gear Box,5 Speed
7942,Miscellaneous,Seating Capacity,5
7943,Miscellaneous,Steering Type,Power
7944,Miscellaneous,Turning Radius,4.5
7945,Miscellaneous,Front Brake Type,Disc
7946,Miscellaneous,Rear Brake Type,Drum
7947,Miscellaneous,Tyre Type,"Tubeless, Radial"
7948,Miscellaneous,No Door Numbers,5
7949,Miscellaneous,Cargo Volumn,214
7950,Engine and Transmission,Color,Red
7951,Engine and Transmission,Engine Type,DOHC Engine
7952,Engine and Transmission,Displacement,1197
7953,Engine and Transmission,Max Power,78.9bhp@6000rpm
7954,Engine and Transmission,Max Torque,111.8Nm@4000rpm
7955,Engine and Transmission,No of Cylinder,4
7956,Engine and Transmission,Values per Cylinder,4
7957,Engine and Transmission,Value Configuration,DOHC
7958,Engine and Transmission,Fuel Suppy System,MPFI
7959,Engine and Transmission,BoreX Stroke,71 x 75.6 mm
7960,Engine and Transmission,Compression Ratio,10.5:1
7961,Engine and Transmission,Turbo Charger,No
7962,Engine and Transmission,Super Charger,No
7963,Dimensions & Capacity,Length,3585mm
7964,Dimensions & Capacity,Width,1595mm
7965,Dimensions & Capacity,Height,1550mm
7966,Dimensions & Capacity,Wheel Base,2380mm
7967,Dimensions & Capacity,Front Tread,1400mm
7968,Dimensions & Capacity,Rear Tread,1385mm
7969,Dimensions & Capacity,Kerb Weight,960
7970,Miscellaneous,Gear Box,5 Speed
7971,Miscellaneous,Drive Type,FWD
7972,Miscellaneous,Seating Capacity,5
7973,Miscellaneous,Steering Type,Power
7974,Miscellaneous,Front Brake Type,Ventilated Disc
7975,Miscellaneous,Rear Brake Type,Drum
7976,Miscellaneous,Tyre Type,"Tubeless,Radial"
7977,Miscellaneous,Alloy Wheel Size,13
7978,Miscellaneous,No Door Numbers,4
7979,Engine and Transmission,Color,White
7980,Engine and Transmission,Engine Type,In-Line 4 Cylinder Petrol Engine
7981,Engine and Transmission,Displacement,1991
7982,Engine and Transmission,Max Power,194.44bhp@5500-6100rpm
7983,Engine and Transmission,Max Torque,320Nm@1650-4000rpm
7984,Engine and Transmission,No of Cylinder,4
7985,Engine and Transmission,Values per Cylinder,4
7986,Engine and Transmission,Value Configuration,DOHC
7987,Engine and Transmission,Fuel Suppy System,Direct Injection
7988,Dimensions & Capacity,Length,5075mm
7989,Dimensions & Capacity,Width,2065mm
7990,Dimensions & Capacity,Height,1495mm
7991,Dimensions & Capacity,Wheel Base,3079mm
7992,Dimensions & Capacity,Front Tread,1595mm
7993,Dimensions & Capacity,Rear Tread,1597mm
7994,Dimensions & Capacity,Kerb Weight,1635
7995,Miscellaneous,Gear Box,9 Speed
7996,Miscellaneous,Drive Type,RWD
7997,Miscellaneous,Seating Capacity,5
7998,Miscellaneous,Steering Type,Electric
7999,Miscellaneous,Turning Radius,6 metres
8000,Miscellaneous,Front Brake Type,Ventilated Disc
8001,Miscellaneous,Rear Brake Type,Disc
8002,Miscellaneous,Top Speed,240 kmph
8003,Miscellaneous,Acceleration,7.6 Seconds
8004,Miscellaneous,Tyre Type,"Tubeless,Radial"
8005,Miscellaneous,Alloy Wheel Size,17
8006,Miscellaneous,No Door Numbers,4
8007,Miscellaneous,Cargo Volumn,540-litres
8008,Engine and Transmission,Color,White
8009,Engine and Transmission,Engine Type,Diesel Engine
8010,Engine and Transmission,Displacement,1498
8011,Engine and Transmission,Max Power,108.6bhp@4000rpm
8012,Engine and Transmission,Max Torque,250Nm@1500-2500rpm
8013,Engine and Transmission,No of Cylinder,4
8014,Engine and Transmission,Values per Cylinder,4
8015,Engine and Transmission,Value Configuration,DOHC
8016,Engine and Transmission,Fuel Suppy System,Direct Injection
8017,Engine and Transmission,Turbo Charger,Yes
8018,Engine and Transmission,Super Charger,No
8019,Dimensions & Capacity,Length,4413mm
8020,Dimensions & Capacity,Width,1699mm
8021,Dimensions & Capacity,Height,1466mm
8022,Dimensions & Capacity,Ground Clearance Unladen,120mm
8023,Dimensions & Capacity,Wheel Base,2552mm
8024,Dimensions & Capacity,Kerb Weight,1220kg
8025,Dimensions & Capacity,Gross Weight,1770kg
8026,Miscellaneous,Gear Box,7 Speed
8027,Miscellaneous,Drive Type,FWD
8028,Miscellaneous,Seating Capacity,5
8029,Miscellaneous,Steering Type,Power
8030,Miscellaneous,Turning Radius,5.3 meters
8031,Miscellaneous,Front Brake Type,Disc
8032,Miscellaneous,Rear Brake Type,Drum
8033,Miscellaneous,Top Speed,171.92 Kmph
8034,Miscellaneous,Acceleration,11.41 Seconds
8035,Miscellaneous,Tyre Type,"Tubeless,Radial"
8036,Miscellaneous,Alloy Wheel Size,15
8037,Miscellaneous,No Door Numbers,4
8038,Miscellaneous,Cargo Volumn,460
8039,Engine and Transmission,Color,Silver
8040,Engine and Transmission,Engine Type,k-series1.5l
8041,Engine and Transmission,Displacement,1462
8042,Engine and Transmission,Max Power,103.26bhp@6000rpm
8043,Engine and Transmission,Max Torque,138nm@4400rpm
8044,Engine and Transmission,No of Cylinder,4
8045,Engine and Transmission,Values per Cylinder,4
8046,Dimensions & Capacity,Length,3995
8047,Dimensions & Capacity,Width,1790
8048,Dimensions & Capacity,Height,1640
8049,Dimensions & Capacity,Wheel Base,2500
8050,Dimensions & Capacity,Kerb Weight,1115-1130
8051,Dimensions & Capacity,Gross Weight,1600
8052,Miscellaneous,Gear Box,5 Speed
8053,Miscellaneous,Seating Capacity,5
8054,Miscellaneous,Steering Type,Electronic
8055,Miscellaneous,Turning Radius,5.2
8056,Miscellaneous,Front Brake Type,Ventilated Disc
8057,Miscellaneous,Rear Brake Type,Drum
8058,Miscellaneous,Tyre Type,"Tubeless, Radial"
8059,Miscellaneous,Alloy Wheel Size,16
8060,Miscellaneous,No Door Numbers,5
8061,Miscellaneous,Cargo Volumn,328
8062,Engine and Transmission,Color,Purple
8063,Engine and Transmission,Engine Type,2-GD FTV Engine
8064,Engine and Transmission,Displacement,2393
8065,Engine and Transmission,Max Power,147.51bhp@3400rpm
8066,Engine and Transmission,Max Torque,343Nm@1400-2800rpm
8067,Engine and Transmission,No of Cylinder,7
8068,Engine and Transmission,Values per Cylinder,4
8069,Engine and Transmission,Value Configuration,DOHC
8070,Engine and Transmission,Fuel Suppy System,CRDi
8071,Engine and Transmission,BoreX Stroke,3.62 X 4.08 mm
8072,Engine and Transmission,Turbo Charger,Yes
8073,Engine and Transmission,Super Charger,No
8074,Dimensions & Capacity,Length,4735mm
8075,Dimensions & Capacity,Width,1830mm
8076,Dimensions & Capacity,Height,1795mm
8077,Dimensions & Capacity,Ground Clearance Unladen,178mm
8078,Dimensions & Capacity,Wheel Base,2750mm
8079,Dimensions & Capacity,Front Tread,1540mm
8080,Dimensions & Capacity,Rear Tread,1540mm
8081,Dimensions & Capacity,Kerb Weight,1865kg
8082,Dimensions & Capacity,Gross Weight,2500kg
8083,Miscellaneous,Gear Box,5 Speed
8084,Miscellaneous,Drive Type,RWD
8085,Miscellaneous,Seating Capacity,8
8086,Miscellaneous,Steering Type,Power
8087,Miscellaneous,Turning Radius,5.4
8088,Miscellaneous,Front Brake Type,Disc
8089,Miscellaneous,Rear Brake Type,Drum
8090,Miscellaneous,Tyre Type,"Tubeless,Radial"
8091,Miscellaneous,Alloy Wheel Size,16
8092,Miscellaneous,No Door Numbers,5
8093,Engine and Transmission,Color,Others
8094,Engine and Transmission,Displacement,998
8095,Engine and Transmission,Max Power,118.35bhp@6000rpm
8096,Engine and Transmission,Max Torque,171.6Nm@1500-4000rpm
8097,Engine and Transmission,No of Cylinder,3
8098,Engine and Transmission,Values per Cylinder,4
8099,Engine and Transmission,Fuel Suppy System,GDi
8100,Engine and Transmission,Turbo Charger,Yes
8101,Dimensions & Capacity,Length,3995 mm
8102,Dimensions & Capacity,Width,1770 mm
8103,Dimensions & Capacity,Height,1605 mm
8104,Dimensions & Capacity,Ground Clearance Unladen,190mm
8105,Dimensions & Capacity,Wheel Base,2500 mm
8106,Dimensions & Capacity,Kerb Weight,1440
8107,Miscellaneous,Gear Box,7-Speed
8108,Miscellaneous,Drive Type,FWD
8109,Miscellaneous,Seating Capacity,5
8110,Miscellaneous,Steering Type,Power
8111,Miscellaneous,Front Brake Type,Disc
8112,Miscellaneous,Rear Brake Type,Drum
8113,Miscellaneous,Tyre Type,Radial
8114,Miscellaneous,Alloy Wheel Size,16
8115,Miscellaneous,No Door Numbers,5
8116,Miscellaneous,Cargo Volumn,350
8117,Engine and Transmission,Color,Silver
8118,Engine and Transmission,Engine Type,In Line Petrol Engine
8119,Engine and Transmission,Displacement,1198
8120,Engine and Transmission,Max Power,67.04bhp@5000rpm
8121,Engine and Transmission,Max Torque,104Nm@4000rpm
8122,Engine and Transmission,No of Cylinder,3
8123,Engine and Transmission,Values per Cylinder,4
8124,Engine and Transmission,Value Configuration,DOHC
8125,Engine and Transmission,Fuel Suppy System,Electronic Fuel Injection
8126,Engine and Transmission,BoreX Stroke,78 x 83.6
8127,Engine and Transmission,Compression Ratio,9.8:1
8128,Engine and Transmission,Turbo Charger,No
8129,Engine and Transmission,Super Charger,No
8130,Dimensions & Capacity,Length,3801mm
8131,Dimensions & Capacity,Width,1665mm
8132,Dimensions & Capacity,Height,1530mm
8133,Dimensions & Capacity,Wheel Base,2450mm
8134,Dimensions & Capacity,Kerb Weight,970
8135,Miscellaneous,Gear Box,5 Speed
8136,Miscellaneous,Drive Type,FWD
8137,Miscellaneous,Seating Capacity,5
8138,Miscellaneous,Steering Type,Power
8139,Miscellaneous,Turning Radius,4.65 metres
8140,Miscellaneous,Front Brake Type,Ventilated Disc
8141,Miscellaneous,Rear Brake Type,Drum
8142,Miscellaneous,Top Speed,160 Kmph
8143,Miscellaneous,Acceleration,15 Seconds
8144,Miscellaneous,Tyre Type,"Tubeless,Radial"
8145,Miscellaneous,No Door Numbers,5
8146,Miscellaneous,Cargo Volumn,251-litres
8147,Engine and Transmission,Color,Red
8148,Engine and Transmission,Engine Type,K 10B Petrol Engine
8149,Engine and Transmission,Displacement,998
8150,Engine and Transmission,Max Power,67.04bhp@6200rpm
8151,Engine and Transmission,Max Torque,90Nm@3500rpm
8152,Engine and Transmission,No of Cylinder,3
8153,Engine and Transmission,Values per Cylinder,4
8154,Engine and Transmission,Value Configuration,DOHC
8155,Engine and Transmission,Fuel Suppy System,MPFI
8156,Engine and Transmission,Turbo Charger,No
8157,Engine and Transmission,Super Charger,No
8158,Dimensions & Capacity,Length,3636mm
8159,Dimensions & Capacity,Width,1475mm
8160,Dimensions & Capacity,Height,1670mm
8161,Dimensions & Capacity,Wheel Base,2400mm
8162,Dimensions & Capacity,Front Tread,1295mm
8163,Dimensions & Capacity,Rear Tread,1290mm
8164,Dimensions & Capacity,Kerb Weight,885kg
8165,Dimensions & Capacity,Gross Weight,1350kg
8166,Miscellaneous,Gear Box,5 Speed
8167,Miscellaneous,Drive Type,FWD
8168,Miscellaneous,Seating Capacity,5
8169,Miscellaneous,Steering Type,Power
8170,Miscellaneous,Turning Radius,4.6 metres
8171,Miscellaneous,Front Brake Type,Ventilated Disc
8172,Miscellaneous,Rear Brake Type,Drum
8173,Miscellaneous,Top Speed,150 Kmph
8174,Miscellaneous,Acceleration,15 Seconds
8175,Miscellaneous,Tyre Type,Tubeless Tyres
8176,Miscellaneous,Alloy Wheel Size,14
8177,Miscellaneous,No Door Numbers,5
8178,Miscellaneous,Cargo Volumn,180-liters
8179,Engine and Transmission,Color,Blue
8180,Engine and Transmission,Engine Type,1.0L TSI Petrol
8181,Engine and Transmission,Displacement,999
8182,Engine and Transmission,Max Power,108.62bhp@5000-5500rpm
8183,Engine and Transmission,Max Torque,175nm@1750-4000rpm
8184,Engine and Transmission,No of Cylinder,3
8185,Engine and Transmission,Values per Cylinder,4
8186,Engine and Transmission,Value Configuration,DOHC
8187,Engine and Transmission,Fuel Suppy System,Direct Injection
8188,Engine and Transmission,Turbo Charger,Yes
8189,Engine and Transmission,Super Charger,No
8190,Dimensions & Capacity,Length,4413mm
8191,Dimensions & Capacity,Width,1699mm
8192,Dimensions & Capacity,Height,1466mm
8193,Dimensions & Capacity,Ground Clearance Unladen,116mm
8194,Dimensions & Capacity,Wheel Base,2552mm
8195,Dimensions & Capacity,Kerb Weight,1139-1169
8196,Dimensions & Capacity,Gross Weight,1700
8197,Miscellaneous,Gear Box,6 Speed
8198,Miscellaneous,Drive Type,FWD
8199,Miscellaneous,Seating Capacity,5
8200,Miscellaneous,Steering Type,Power
8201,Miscellaneous,Turning Radius,5.3
8202,Miscellaneous,Front Brake Type,Disc
8203,Miscellaneous,Rear Brake Type,Drum
8204,Miscellaneous,Tyre Type,"Tubeless,Radial"
8205,Miscellaneous,Alloy Wheel Size,R15
8206,Miscellaneous,No Door Numbers,4
8207,Miscellaneous,Cargo Volumn,460
8208,Engine and Transmission,Color,Silver
8209,Engine and Transmission,Engine Type,mHawk 100 Diesel Engine
8210,Engine and Transmission,Displacement,1493
8211,Engine and Transmission,Max Power,100bhp@3750rpm
8212,Engine and Transmission,Max Torque,240Nm@1600-2800rpm
8213,Engine and Transmission,No of Cylinder,3
8214,Engine and Transmission,Values per Cylinder,2
8215,Engine and Transmission,Fuel Suppy System,CRDi
8216,Engine and Transmission,Turbo Charger,Yes
8217,Engine and Transmission,Super Charger,No
8218,Dimensions & Capacity,Length,3995mm
8219,Dimensions & Capacity,Width,1795mm
8220,Dimensions & Capacity,Height,1817mm
8221,Dimensions & Capacity,Wheel Base,2680mm
8222,Dimensions & Capacity,Kerb Weight,1650kg
8223,Dimensions & Capacity,Gross Weight,2225kg
8224,Miscellaneous,Gear Box,5 Speed
8225,Miscellaneous,Drive Type,RWD
8226,Miscellaneous,Seating Capacity,7
8227,Miscellaneous,Steering Type,Power
8228,Miscellaneous,Turning Radius,5.35 metres
8229,Miscellaneous,Front Brake Type,Disc
8230,Miscellaneous,Rear Brake Type,Drum
8231,Miscellaneous,Top Speed,156 Kmph
8232,Miscellaneous,Acceleration,13.9 Seconds
8233,Miscellaneous,Tyre Type,"Tubeless,Radials"
8234,Miscellaneous,Alloy Wheel Size,R15
8235,Miscellaneous,No Door Numbers,5
