,heading,key,value
137,Miscellaneous,Acceleration, 8.2 Seconds
138,Miscellaneous,Tyre Type,"Tubeless,Radial"
139,Miscellaneous,Alloy Wheel Size,16
140,Miscellaneous,No Door Numbers,5
141,Miscellaneous,Cargo Volumn,460-litres
142,Engine and Transmission,Color,Brown
143,Engine and Transmission,Engine Type,K12M Petrol Engine
144,Engine and Transmission,Displacement,1197
145,Engine and Transmission,Max Power,81.80bhp@6000rpm
146,Engine and Transmission,Max Torque,113Nm@4200rpm
147,Engine and Transmission,No of Cylinder,4
148,Engine and Transmission,Values per Cylinder,4
149,Engine and Transmission,Value Configuration,DOHC
150,Engine and Transmission,Fuel Suppy System,MPFI
151,Engine and Transmission,BoreX Stroke,69 x 72 mm
152,Engine and Transmission,Turbo Charger,No
153,Engine and Transmission,Super Charger,No
154,Dimensions & Capacity,Length,3655 mm
155,Dimensions & Capacity,Width,1620 mm
156,Dimensions & Capacity,Height,1675 mm
157,Dimensions & Capacity,Wheel Base,2435 mm
158,Dimensions & Capacity,Kerb Weight,830-845kg
159,Dimensions & Capacity,Gross Weight,1340kg
160,Miscellaneous,Gear Box,5 Speed
161,Miscellaneous,Drive Type,FWD
162,Miscellaneous,Seating Capacity,5
163,Miscellaneous,Steering Type,Power
164,Miscellaneous,Turning Radius,4.7 metres
165,Miscellaneous,Front Brake Type,Disc
166,Miscellaneous,Rear Brake Type,Drum
167,Miscellaneous,Acceleration,18.6 Seconds
168,Miscellaneous,Tyre Type,"Tubeless Tyres, Radial"
169,Miscellaneous,No Door Numbers,5
170,Miscellaneous,Cargo Volumn,341 Litres
171,Engine and Transmission,Color,Silver
172,Engine and Transmission,Engine Type,1.1 L Petrol
173,Engine and Transmission,Displacement,1086
174,Engine and Transmission,Max Power,68.05bhp@5500rpm
175,Engine and Transmission,Max Torque,99Nm@4500 rpm
176,Engine and Transmission,No of Cylinder,4
177,Engine and Transmission,Values per Cylinder,3
178,Engine and Transmission,Value Configuration,SOHC
179,Engine and Transmission,Fuel Suppy System,MPFI
180,Engine and Transmission,Turbo Charger,No
181,Engine and Transmission,Super Charger,No
182,Dimensions & Capacity,Length,3610 mm
183,Dimensions & Capacity,Width,1645 mm
184,Dimensions & Capacity,Height,1560 mm
185,Dimensions & Capacity,Wheel Base,2400 mm
186,Dimensions & Capacity,Front Tread,1463
187,Dimensions & Capacity,Rear Tread,1481
188,Dimensions & Capacity,Kerb Weight,1070
189,Miscellaneous,Gear Box,5 Speed
190,Miscellaneous,Drive Type,FWD
191,Miscellaneous,Seating Capacity,5
192,Miscellaneous,Steering Type,Electric
193,Miscellaneous,Front Brake Type,Disc
194,Miscellaneous,Rear Brake Type,Drum
195,Miscellaneous,Tyre Type,"Tubeless,Radial"
196,Miscellaneous,No Door Numbers,5
197,Miscellaneous,Cargo Volumn,235
198,Engine and Transmission,Color,Silver
199,Engine and Transmission,Engine Type,Petrol Engine
200,Engine and Transmission,Displacement,799
201,Engine and Transmission,Max Power,53.3bhp@5678rpm
202,Engine and Transmission,Max Torque,72Nm@4386rpm
203,Engine and Transmission,No of Cylinder,3
204,Engine and Transmission,Values per Cylinder,4
205,Engine and Transmission,Value Configuration,DOHC
206,Engine and Transmission,Fuel Suppy System,MPFi
207,Engine and Transmission,Turbo Charger,No
208,Engine and Transmission,Super Charger,No
209,Dimensions & Capacity,Length,3679mm
210,Dimensions & Capacity,Width,1579mm
211,Dimensions & Capacity,Height,1478mm
212,Dimensions & Capacity,Wheel Base,2422mm
213,Dimensions & Capacity,Kerb Weight,730
214,Miscellaneous,Gear Box,5 Speed
215,Miscellaneous,Drive Type,FWD
216,Miscellaneous,Seating Capacity,5
217,Miscellaneous,Steering Type,Power
218,Miscellaneous,Turning Radius,4.9 metres
219,Miscellaneous,Front Brake Type,Disc
220,Miscellaneous,Rear Brake Type,Drum
221,Miscellaneous,Top Speed,135 Kmph
222,Miscellaneous,Acceleration,16 Seconds
223,Miscellaneous,Tyre Type,"Tubeless,Radial"
224,Miscellaneous,No Door Numbers,5
225,Miscellaneous,Cargo Volumn,300
226,Engine and Transmission,Color,Silver
227,Engine and Transmission,Engine Type,In-Line Engine
228,Engine and Transmission,Displacement,1298
229,Engine and Transmission,Max Power,85.8bhp@6000rpm
230,Engine and Transmission,Max Torque,114Nm@4000rpm
231,Engine and Transmission,No of Cylinder,4
232,Engine and Transmission,Values per Cylinder,4
233,Engine and Transmission,Value Configuration,SOHC
234,Engine and Transmission,Fuel Suppy System,MPFI
235,Engine and Transmission,BoreX Stroke,74 x 75.5 mm
236,Engine and Transmission,Compression Ratio,9.0:1
237,Engine and Transmission,Turbo Charger,No
238,Engine and Transmission,Super Charger,No
239,Dimensions & Capacity,Length,4160mm
240,Dimensions & Capacity,Width,1690mm
241,Dimensions & Capacity,Height,1530mm
242,Dimensions & Capacity,Wheel Base,2390mm
243,Dimensions & Capacity,Front Tread,1470mm
244,Dimensions & Capacity,Rear Tread,1480mm
245,Dimensions & Capacity,Kerb Weight,1025kg
246,Miscellaneous,Gear Box,5 Speed
